,id,sentence,subject_entity,object_entity,label,source
1044,1044,"2010년 3월 29일, 최진영는 서울특별시 강남구 논현동에 있는 자신의 집에서 스스로 사망했다.","{'word': 최진영, 'start_idx': 14, 'end_idx': 16}","{'word': 서울특별시 강남구, 'start_idx': 19, 'end_idx': 27}",per:place_of_death,wikipedia
1552,1552,"막시밀리아노 1세 (맥시밀리아노 1세, 1832년 7월 6일 ~ 1867년 6월 19일)는 오스트리아 대공이자 멕시코 제국의 황제였다.멕시코 케레타로","{'word': 막시밀리아노 1세, 'start_idx': 0, 'end_idx': 8}","{'word': 멕시코 케레타로, 'start_idx': 75, 'end_idx': 82}",per:place_of_death,wikipedia
2214,2214,우범선일본 히로시마현 구레,"{'word': 우범선, 'start_idx': 0, 'end_idx': 2}","{'word': 일본 히로시마현 구레, 'start_idx': 3, 'end_idx': 13}",per:place_of_death,wikipedia
2802,2802,마리 드 메디시스 퀸은 1630년 그녀의 아들 루이 13세에 의해 추방되었고 1642년 루벤스가 어린 시절을 보냈던 바로 그 쾰른의 집에서 죽었다.,"{'word': 마리 드 메디시스, 'start_idx': 0, 'end_idx': 8}","{'word': 쾰른, 'start_idx': 70, 'end_idx': 71}",per:place_of_death,wikipedia
3510,3510,"1921년 6월 자유도시 사건 이후 상하이 고려공산당 관리들이 러시아로 건너가 이르쿠츠크 집단과 군사력 다툼을 벌였을 때 항모 중 하나인 김립는 상하이 본부를 홀로 지키고 있었고 1921년 말 임시정부가 파견한 오기직, 노종균 등 젊은 층은 222명이었다..상하이","{'word': 김립, 'start_idx': 77, 'end_idx': 78}","{'word': 상하이, 'start_idx': 20, 'end_idx': 22}",per:place_of_death,wikipedia
4171,4171,병에 걸린 트라야누스는 하드리아누스를 파르티아 원정군 사령관으로 임명하고 로마로 돌아가지만 킬리키아에서 세리누스에서 죽는다.,"{'word': 트라야누스, 'start_idx': 6, 'end_idx': 10}","{'word': 세리누스, 'start_idx': 58, 'end_idx': 61}",per:place_of_death,wikipedia
4421,4421,"김창완과 그의 두 형제로 구성된 그룹 산울림의 멤버 김창익는 2008년 1월 캐나다 벤쿠버에서 제설 중 사고로 사망했고, 같은 해 김창완은 네 명의 젊은 연주자들과 팀을 이루어 음악 활동을 시작하겠다고 발표했다.","{'word': 김창익, 'start_idx': 29, 'end_idx': 31}","{'word': 캐나다 벤쿠버, 'start_idx': 43, 'end_idx': 49}",per:place_of_death,wikipedia
4949,4949,"루이스 몰로니 아르벨로(, 1925년 5월 12일 ~ 2010년 2월 12일, 카나리아 제도 산타크루스데테네리페, @, 카나리아 제도)는 스페인의 전 축구 미드필더이자 감독이다.라스 팔마스","{'word': 루이스 몰로니, 'start_idx': 0, 'end_idx': 6}","{'word': 라스 팔마스, 'start_idx': 99, 'end_idx': 104}",per:place_of_death,wikipedia
7229,7229,"고용희는 2004년 8월 13일 프랑스Paris에서 치료를 받던 중 심장마비와 암으로 사망한 것으로 알려졌으나, 그 3개월 전인 5월경에 이미 사망했을 가능성이 있다.","{'word': 고용희, 'start_idx': 0, 'end_idx': 2}","{'word': 프랑스, 'start_idx': 18, 'end_idx': 20}",per:place_of_death,wikipedia
7440,7440,2010년 폴란드 공군 Tu-154 추락 사고는 2010년 4월 10일 폴란드 대통령 레흐 카친스키을 태운 폴란드 공군 소속 Tu-154M이 러시아 스몰렌스크 인근에서 추락한 사고이다.,"{'word': 레흐 카친스키, 'start_idx': 48, 'end_idx': 54}","{'word': 러시아 스몰렌스크, 'start_idx': 79, 'end_idx': 87}",per:place_of_death,wikipedia
10522,10522,박정희연회 도중 김재규가 가슴과 머리에 총상을 입고 곧 국군병원 서울 병원으로 옮겨졌으나 이송 도중 사망했다.,"{'word': 박정희, 'start_idx': 0, 'end_idx': 2}","{'word': 서울, 'start_idx': 36, 'end_idx': 37}",per:place_of_death,wikipedia
11019,11019,"선의왕후 함종이었던 어씨는 1730년 6월 29일 경희궁 어조당(魚藻堂)에서 소생하지 못하고 사망하였고, 봄·가을에 26세였으며, 호는 선의, 묘는 의릉이라 하여 10월에 천장산 경종릉 아래에서 장례를 치렀다.","{'word': 선의왕후, 'start_idx': 0, 'end_idx': 3}","{'word': 경희궁 어조당(魚藻堂), 'start_idx': 28, 'end_idx': 39}",per:place_of_death,wikipedia
11309,11309,"알폰소 10세 드 카스티야 (1221년 11월 23일 - 1284년 4월 4일)는 부르고뉴 가문에 속했고, 카스티야와 레온 왕국의 왕이었고, 일시적으로 독일의 왕이었다.세비야","{'word': 알폰소 10세, 'start_idx': 0, 'end_idx': 6}","{'word': 세비야, 'start_idx': 94, 'end_idx': 96}",per:place_of_death,wikipedia
11428,11428,루돌프 1세는 1291년 7월 15일 슈파이어에서 사망했다.,"{'word': 루돌프 1세, 'start_idx': 0, 'end_idx': 5}","{'word': 슈파이어, 'start_idx': 21, 'end_idx': 24}",per:place_of_death,wikipedia
11763,11763,피천득는 2007년 5월 25일 노환으로 서울에서 사망하였습니다.,"{'word': 피천득, 'start_idx': 0, 'end_idx': 2}","{'word': 서울, 'start_idx': 23, 'end_idx': 24}",per:place_of_death,wikipedia
12114,12114,미셸 드브레는 1912년 1월 15일 파리 7구에서 태어나 1996년 8월 2일 몽루이쉬르루아르에서 사망한 프랑스의 정치인이다.,"{'word': 미셸 드브레, 'start_idx': 0, 'end_idx': 5}","{'word': 몽루이쉬르루아르, 'start_idx': 45, 'end_idx': 52}",per:place_of_death,wikipedia
14104,14104,"2014년 8월 11일 미국 샌프란시스코의 마린 카운티 경찰국에 따르면, 로빈 윌리엄스는 캘리포니아 @Tiburon에 있는 그의 집에서 목을 매 숨진 채 발견되었다.캘리포니아","{'word': 로빈 윌리엄스, 'start_idx': 41, 'end_idx': 47}","{'word': 캘리포니아, 'start_idx': 50, 'end_idx': 54}",per:place_of_death,wikipedia
15761,15761,"메이레키 1657년 10월 26일, 그는 54세의 나이로 에도으로 세상을 떠났다. 그 책은 그의 장남 요시자네에 의해 읽혔다.","{'word': 메이레키, 'start_idx': 0, 'end_idx': 3}","{'word': 에도, 'start_idx': 32, 'end_idx': 33}",per:place_of_death,wikipedia
15970,15970,하지만 이스마일 2세는 카즈빈의 궁전에서 아편 중독으로 죽었다.,"{'word': 이스마일 2세, 'start_idx': 4, 'end_idx': 10}","{'word': 카즈빈, 'start_idx': 13, 'end_idx': 15}",per:place_of_death,wikipedia
15990,15990,또 취임한 해 바티칸 교황 요한 바오로 1세이 취임 33일 만에 갑자기 서거해 또다시 타살 의혹으로 화제가 되기도 했다.,"{'word': 요한 바오로 1세, 'start_idx': 15, 'end_idx': 23}","{'word': 바티칸, 'start_idx': 8, 'end_idx': 10}",per:place_of_death,wikipedia
16082,16082,"그러나 서재필는 한국전쟁이 한창이던 1951년 1월 5일 펜실베이니아주 필라델피아 노리스타운 몽고메리 병원 병실에서 후두암, 방광암, 과로로 생을 마감했다.","{'word': 서재필, 'start_idx': 4, 'end_idx': 6}","{'word': 펜실베이니아주 필라델피아, 'start_idx': 32, 'end_idx': 44}",per:place_of_death,wikipedia
17322,17322,"손원일(1909년 6월 22일(음력 5월 5일) 평안남도 강서 출생, 1980년 2월 15일 서울에서 사망)는 대한민국 제5대 국방부 장관, 초대 서독 대사, 전직 독립운동가이자 외교관이다.","{'word': 손원일, 'start_idx': 0, 'end_idx': 2}","{'word': 대한민국, 'start_idx': 62, 'end_idx': 65}",per:place_of_death,wikipedia
18873,18873,헤디 라마르는 2000년 1월 19일 85세의 나이로 @state의 Casselbury에서 심장병으로 사망했다.플로리다,"{'word': 헤디 라마르, 'start_idx': 0, 'end_idx': 5}","{'word': 플로리다, 'start_idx': 62, 'end_idx': 65}",per:place_of_death,wikipedia
19202,19202,"체 게바라""Hasta Siempre-Comandante""는 쿠바 작곡가 Carlos Puebla가 1965년에 작곡한 스페인 노래로, 그가 콩고로 이주하기 위해 쿠바를 떠나 볼리비아에게 남긴 작별 편지에 대한 응답이다.","{'word': 체 게바라, 'start_idx': 0, 'end_idx': 4}","{'word': 볼리비아, 'start_idx': 97, 'end_idx': 100}",per:place_of_death,wikipedia
19895,19895,"에드워드 리 ""테드"" 손다이크, 1874년 8월 31일 ~ 1949년 8월 9일 @ 몬트로즈)는 미국의 심리학자이다.미국 뉴욕주","{'word': 손다이크, 'start_idx': 12, 'end_idx': 15}","{'word': 미국 뉴욕주, 'start_idx': 65, 'end_idx': 70}",per:place_of_death,wikipedia
21137,21137,"박시창(대한민국 경기도 시흥 출생, 서울)는 대한민국의 독립운동가이자 군인, 예비역 대한민국 육군 원수, 사회운동가이자 사회단체장이다.","{'word': 박시창, 'start_idx': 0, 'end_idx': 2}","{'word': 서울, 'start_idx': 20, 'end_idx': 21}",per:place_of_death,wikipedia
21538,21538,"1932년 1월 24일, 워버그는 63세의 나이로 뉴욕의 저택에서 사망했고 @state의 슬리피 홀로 묘지에 묻혔다.","{'word': 워버그, 'start_idx': 14, 'end_idx': 16}","{'word': 뉴욕, 'start_idx': 28, 'end_idx': 29}",per:place_of_death,wikipedia
22391,22391,플로리야나 이스마일리는 2019년 6월 29일 이탈리아 롬바르디아주 코모호에서 보트에서 뛰어내렸을 때 실종되었습니다.,"{'word': 플로리야나 이스마일리, 'start_idx': 0, 'end_idx': 10}","{'word': 이탈리아 롬바르디아주 코모호, 'start_idx': 26, 'end_idx': 40}",per:place_of_death,wikipedia
23497,23497,"리승엽(1905년 2월 8일, 경기도 부평에서 1954년 7월 30일, 사형수 조선민주주의인민공화국) 평양에서 태어났다. 조선민주주의인민공화국의 친일 공산주의 운동가이자 정치인의 일본 점령.","{'word': 리승엽, 'start_idx': 0, 'end_idx': 2}","{'word': 조선민주주의인민공화국, 'start_idx': 44, 'end_idx': 54}",per:place_of_death,wikipedia
